Title,Views,Subs,link
DEPRESSION😢,25823,2660,https://www.youtube.com/watch?v=qelw3lRbc5g
Cleaning My Depression Room (again),55220,2290,https://www.youtube.com/watch?v=VkhNorzNjNA
Melina solves depression,32028,3000,https://www.youtube.com/watch?v=jMK3r_XNwSs
Puzzling depression in the lava lake forms,59160,35800,https://www.youtube.com/watch?v=JPquAIbMtJo
"Leafs vs Canadiens Round 1 Game 7  (DEPRESSION)  (May 31st, 2021)",19943,7060,https://www.youtube.com/watch?v=lAbl6TS90f8
Teen Depression - Bata Bata Sagot Kita | Ate Mitch Cajayon Uy,28143,8080,https://www.youtube.com/watch?v=Di6Wi3qAaN0
Depression और Anxiety खतम कैसे करें ? | Fit Tuber Hindi,192684,1840000,https://www.youtube.com/watch?v=j_YNthEkwNU
😓 Feeling alone whatsapp status video Tamil| Sad whatsapp status tamil | Depression whatsapp status,37319,29800,https://www.youtube.com/watch?v=DCjdtSJbnHE
Chris GQ Perry - DEPRESSION (Spoken Word),18262,15300,https://www.youtube.com/watch?v=8sYsZEZsl0k
Olympian Athletes and Their Depression,42280,86400,https://www.youtube.com/watch?v=wF8GEtEgNOY
"Nature cures depression. Doctor&#39;s don&#39;t prescribe this, cus they can&#39;t make a profit.",45840,102000,https://www.youtube.com/watch?v=I85YE4Olu-I
Finnish Seasonal Depression,20219,43000,https://www.youtube.com/watch?v=VmOBTcvWMe8
"A Great Depression For The 21st Century: 1930s Was Bad, But What We Are Facing Now Is Worse!",61430,310000,https://www.youtube.com/watch?v=7F5gMORHRaU
Why i am so Depressed?🥺 (Suicide?)😭 Give Up!🙏 | Vampire YT,67675,174000,https://www.youtube.com/watch?v=bb98Jt-0nVo
5️⃣movies that help you out from depression😇| Success motivational video| Shivam malik #shorts,71937,1250000,https://www.youtube.com/watch?v=aexfa9TSxow
Watch this if you have depression,38082,754000,https://www.youtube.com/watch?v=QDFUGu5TgLM
Are You Ready For The Next Great Depression?,26502,94000,https://www.youtube.com/watch?v=dqt-l2BThuA
چگونه افسردگی را درمان کنیم بدون دارو تنها در سه روز - Depression Cure Without Medication - EN RU 4K,17513,19000,https://www.youtube.com/watch?v=GywhWJAuTwM
"Raus aus der Depression, rein ins Vanlife - zwei trockene Alkoholiker schaffen den Absprung",31692,156000,https://www.youtube.com/watch?v=zUPBpguo_do
"NEW Tagalog Reggae Classics Songs 2021 - Chocolate Factory ,Tropical Depression, Blakdyak",19898,64400,https://www.youtube.com/watch?v=t9-SeIuKoQU
trying to self care the depression away lol,39836,153000,https://www.youtube.com/watch?v=cJCzcqYnQZU
FUNNY TIK TOKS THAT SCARE MY DEPRESSION AWAY,70654,820000,https://www.youtube.com/watch?v=B3qeKkWWSns
How I overcame my showbiz and motherhood traumas and depression | Michelle Madrigal,25051,113000,https://www.youtube.com/watch?v=MgaDguqGGUk
WHEN I LEFT DEPRESSION PILLS,45201,273000,https://www.youtube.com/watch?v=scrpY8QC-9c
